CustomerID,Lookalikes
C0001,"[('C0018', 0.3659), ('C0018', 0.3476), ('C0019', 0.2779)]"
C0002,"[('C0017', 0.4134), ('C0008', 0.2499), ('C0012', 0.2329)]"
C0003,"[('C0012', 0.2637), ('C0017', 0.2458), ('C0019', 0.2143)]"
C0004,"[('C0016', 0.3683), ('C0012', 0.2296), ('C0010', 0.2219)]"
C0005,"[('C0019', 0.367), ('C0010', 0.2979), ('C0017', 0.2926)]"
C0006,"[('C0006', 1.0), ('C0012', 0.3077), ('C0016', 0.3064)]"
C0007,"[('C0015', 0.2708), ('C0008', 0.2517), ('C0002', 0.2396)]"
C0008,"[('C0004', 0.3699), ('C0019', 0.3257), ('C0003', 0.3032)]"
C0009,"[('C0017', 1.0), ('C0009', 0.4879), ('C0018', 0.2557)]"
C0010,"[('C0005', 0.2979), ('C0017', 0.2389), ('C0004', 0.2277)]"
C0011,"[('C0004', 0.2669), ('C0012', 0.2439), ('C0013', 0.2435)]"
C0012,"[('C0013', 0.426), ('C0018', 0.286), ('C0009', 0.2604)]"
C0013,"[('C0011', 0.4471), ('C0001', 0.3121), ('C0019', 0.2604)]"
C0014,"[('C0010', 0.4997), ('C0018', 0.3696), ('C0019', 0.3118)]"
C0015,"[('C0011', 0.4142), ('C0008', 0.3075), ('C0006', 0.2745)]"
C0016,"[('C0004', 0.3683), ('C0010', 0.324), ('C0001', 0.2928)]"
C0017,"[('C0002', 0.3725), ('C0008', 0.367), ('C0003', 0.3333)]"
C0018,"[('C0010', 0.3037), ('C0013', 0.3037), ('C0004', 0.2246)]"
C0019,"[('C0005', 0.367), ('C0017', 0.3189), ('C0004', 0.3104)]"
C0020,"[('C0004', 0.4139), ('C0001', 0.3987), ('C0017', 0.3987)]"
